,id,name,parameter,displayName,unit,city,lastUpdated,firstUpdated,latitude,longitude,modelName,manufacturerName,max,mean,quant_97.5,quant_02.5,quant_25,quant_75,min
86,1079512,CEAEQ-9395,pm25,PM2.5,µg/m³,None,2023-06-19T19:03:25+00:00,2023-06-13T21:37:45+00:00,45.603703,-73.65233,PurpleAir Sensor,PurpleAir,65.0,14.72860294117647,61.0,0.69,4.2,18.0,0.42
87,1079515,Newcastle,pm25,PM2.5,µg/m³,None,2024-02-07T14:10:09+00:00,2023-06-13T21:37:46+00:00,43.916187,-78.58079,PurpleAir Sensor,PurpleAir,200.0,15.747561802079321,50.0,1.9,6.5,20.0,0.029
88,1079516,CEAEQ-5ba2,pm25,PM2.5,µg/m³,None,2023-09-05T19:54:01+00:00,2023-06-13T21:37:51+00:00,45.60407,-73.652885,PurpleAir Sensor,PurpleAir,66.0,12.375053191489362,59.32499999999999,0.83375,4.8,14.0,0.42
89,1079521,Rollet,pm25,PM2.5,µg/m³,None,2023-10-11T19:06:55+00:00,2023-06-13T21:37:16+00:00,47.91424,-79.24268,PurpleAir Sensor,PurpleAir,170.0,13.752679202537381,46.0,0.17150000000000007,4.4,18.0,0.0
90,1079524,CEAEQ-f859,pm25,PM2.5,µg/m³,None,2023-07-10T20:47:19+00:00,2023-06-13T21:37:21+00:00,45.60646,-73.65528,PurpleAir Sensor,PurpleAir,86.0,22.605,72.85000000000002,1.3075,8.3,32.0,0.52
91,1079526,Mt Blanchard Drive,pm25,PM2.5,µg/m³,None,2024-02-07T14:11:21+00:00,2023-06-13T21:37:23+00:00,49.064236,-122.25549,PurpleAir Sensor,PurpleAir,240.0,11.064337952270979,49.0,1.1,3.5,12.0,0.28
92,1079530,Lachute,pm25,PM2.5,µg/m³,None,2024-01-10T14:24:20+00:00,2023-06-13T21:37:11+00:00,45.662426,-74.351715,PurpleAir Sensor,PurpleAir,71.0,14.038495702005731,38.0,1.3,6.8,19.0,0.13
93,1079532,Temiscaming,pm25,PM2.5,µg/m³,None,2024-02-07T13:59:12+00:00,2023-06-13T21:37:06+00:00,46.707676,-79.09039,PurpleAir Sensor,PurpleAir,120.0,16.53471659770115,60.0,1.1350000000000002,6.4,22.0,0.0
94,1082681,Chapais,pm25,PM2.5,µg/m³,None,2024-01-04T18:13:05+00:00,2023-06-13T20:37:43+00:00,49.781765,-74.85342,PurpleAir Sensor,PurpleAir,1000.0,32.39642961184474,355.49999999999727,0.49900000000000005,4.2,21.0,0.0
95,1082682,CEAEQ-2af6,pm25,PM2.5,µg/m³,None,2023-07-06T18:17:51+00:00,2023-06-14T12:36:55+00:00,45.605736,-73.65484,PurpleAir Sensor,PurpleAir,66.0,11.904970760233919,61.25,0.645,4.25,12.0,0.42
96,1082695,Notre-Dame-de-Laurette,pm25,PM2.5,µg/m³,None,2024-02-07T14:10:49+00:00,2023-06-14T12:39:43+00:00,49.077263,-72.35779,PurpleAir Sensor,PurpleAir,240.0,12.431112781316347,55.0,0.06555000000000001,2.9,16.0,0.0
97,1083287,ÉCOLE DU LAC-DES-FÉEs,pm25,PM2.5,µg/m³,None,2023-06-14T15:41:26+00:00,2023-06-14T15:39:29+00:00,45.438385,-75.74564,PurpleAir Sensor,PurpleAir,19.0,19.0,19.0,19.0,19.0,19.0,19.0
98,1084186,AE - 1048,pm25,PM2.5,µg/m³,None,2023-06-19T22:04:50+00:00,2023-06-14T20:10:08+00:00,53.48565,-113.46503,PurpleAir Sensor,PurpleAir,150.0,26.757213114754098,93.92499999999998,1.1050000000000002,4.05,43.75,0.77
99,1084207,AE-1049,pm25,PM2.5,µg/m³,None,2024-02-07T14:11:38+00:00,2023-06-14T20:38:57+00:00,53.48579,-113.46515,PurpleAir Sensor,PurpleAir,310.0,27.220095554080956,130.0,1.1,6.1,36.0,0.064
100,1084214,AE-1052,pm25,PM2.5,µg/m³,None,2024-02-07T14:10:47+00:00,2023-06-14T20:55:37+00:00,53.486004,-113.46441,PurpleAir Sensor,PurpleAir,310.0,27.828754980079683,130.0,1.2,6.6,36.0,0.013
101,1084229,AE-1053,pm25,PM2.5,µg/m³,None,2023-09-06T21:10:52+00:00,2023-06-14T21:06:11+00:00,53.48514,-113.46461,PurpleAir Sensor,PurpleAir,320.0,35.09269567430025,170.0,1.6,8.7,43.0,0.01
102,1084232,AE - 1051,pm25,PM2.5,µg/m³,None,2023-11-07T18:43:37+00:00,2023-06-14T21:06:01+00:00,53.485474,-113.4652,PurpleAir Sensor,PurpleAir,310.0,31.68263893312102,170.0,1.3,7.8,39.0,0.0
103,1084386,Exhibition Park,pm25,PM2.5,µg/m³,None,2024-02-07T14:10:50+00:00,2023-06-14T21:30:25+00:00,43.54882,-80.262726,PurpleAir Sensor,PurpleAir,180.0,18.756678162709225,53.79999999999973,1.6,7.8,25.0,0.0
104,1084766,Kanata Lakes,pm25,PM2.5,µg/m³,None,2024-02-07T14:11:22+00:00,2023-06-14T23:16:07+00:00,45.318718,-75.91672,PurpleAir Sensor,PurpleAir,270.0,16.041097430906966,77.79999999999973,0.61,5.5,18.0,0.0
